"minute","x","Control","A","B","w","n","a"
3529,16.5089199544457,15.1003833301083,29.9998687372509,13.4909487828052,1.01784292652096,16.8004156501701,1.99999249861698
3530,16.5119375116979,15.1003835152193,29.9998688122506,13.4879313005527,1.01749946249607,16.7978171800391,1.99999247909966
3531,16.5149547247576,15.1003836942281,29.9998688743077,13.4849141495501,1.01715611437073,16.7952182001309,1.99999245952771
3532,16.5179715939262,15.1003838673462,29.99986892384,13.4818973299138,1.01681288210583,16.7926187115281,1.99999243990099
3533,16.5209881194878,15.1003840347762,29.9998689612479,13.4788808417601,1.01646976566228,16.7900187152943,1.99999242021934
3534,16.5240043017105,15.1003841967128,29.9998689869156,13.4758646852051,1.01612676500099,16.7874182124749,1.99999240048259
3535,16.5270201408467,15.1003843533426,29.9998690012118,13.4728488603651,1.01578388008288,16.7848172040978,1.99999238069061
3536,16.5300356371337,15.1003845048448,29.9998690044898,13.4698333673562,1.01544111086891,16.7822156911743,1.99999236084322
3537,16.5330507907946,15.1003846513912,29.9998689970889,13.4668182062943,1.01509845732004,16.7796136746996,1.99999234094028
3538,16.5360656020391,15.1003847931468,29.9998689793345,13.4638033772954,1.01475591939722,16.7770111556537,1.99999232098163
3539,16.5390800710632,15.1003849302699,29.9998689515387,13.4607888804755,1.01441349706144,16.7744081350018,1.9999923009671
3540,16.5420941980509,15.1003850629126,29.9998689140011,13.4577747159502,1.0140711902737,16.7718046136951,1.99999228089654
3541,16.5451079831737,15.1003851912207,29.9998688670091,13.4547608838354,1.01372899899501,16.7692005926713,1.99999226076979
3542,16.5481214265919,15.1003853153342,29.9998688108387,13.4517473842468,1.01338692318639,16.766596072855,1.9999922405867
3543,16.5511345284544,15.1003854353877,29.9998687457545,13.4487342173,1.01304496280887,16.7639910551585,1.9999922203471
3544,16.5541472888998,15.1003855515101,29.9998686720104,13.4457213831106,1.01270311782351,16.7613855404822,1.99999220005083
3545,16.5571597080564,15.1003856638254,29.9998685898503,13.442708881794,1.01236138819136,16.758779529715,1.99999217969772
3546,16.5601717860426,15.1003857724525,29.9998684995082,13.4396967134656,1.01201977387351,16.7561730237348,1.99999215928763
3547,16.5631835229675,15.1003858775057,29.9998684012083,13.4366848782409,1.01167827483103,16.753566023409,1.99999213882039
3548,16.5661949189313,15.1003859790946,29.9998682951663,13.433673376235,1.01133689102503,16.750958529595,1.99999211829582
3549,16.5692059740254,15.1003860773246,29.9998681815888,13.4306622075633,1.01099562241663,16.7483505431401,1.99999209771378
3550,16.5722166883332,15.1003861722966,29.9998680606741,13.4276513723409,1.01065446896695,16.7457420648826,1.99999207707409
3551,16.5752270619297,15.1003862641078,29.9998679326127,13.4246408706829,1.01031343063713,16.7431330956517,1.9999920563766
3552,16.5782370948827,15.1003863528512,29.999867797587,13.4216307027043,1.00997250738832,16.7405236362679,1.99999203562113
3553,16.5812467872523,15.1003864386164,29.9998676557723,13.4186208685201,1.0096316991817,16.7379136875434,1.99999201480753
3554,16.5842561390916,15.1003865214891,29.9998675073367,13.4156113682451,1.00929100597843,16.7353032502825,1.99999199393562
3555,16.5872651504472,15.1003866015518,29.9998673524414,13.4126022019942,1.00895042773973,16.7326923252817,1.99999197300525
